specObjID,objID,z,ra,dec
276915143143587840,587730845814096624,0.11727400124073,314.06837453,-1.14814288
276915143089061888,587730845814096731,0.0557124987244606,314.12233005,-1.21040787
277196614794215424,587730845814227195,0.117645002901554,314.37268645,-1.12436174
276915143311360000,587730845814030428,0.0126566998660564,313.8650896,-1.22524403
277196614639026176,587730845814358873,0.095073901116848,314.7192987,-1.25604475
277196614299287552,587730845814489843,0.0679410994052887,314.96633047,-1.21569407
277196614295093248,587730845814489865,0.140045002102852,314.97683184,-1.14245235
277196614290898944,587730845814490181,0.198936000466347,315.01282027,-1.22016343
277196614303481856,587730845814554853,0.0512490011751652,315.09850229,-1.24977159
277196614345424896,587730845814554866,0.140117004513741,315.10084524,-1.22362516
277196613833719808,587730845814817439,0.160661995410919,315.71086121,-1.19226527
277478042694057984,587730845814882932,0.0645989999175072,315.90303127,-1.22853775
277196614601277440,587730845814293291,0.0982865020632744,314.56562869,-1.2235648
277196613959548928,587730845814751351,0.134646996855736,315.52054208,-1.22206617
277196613997297664,587730845814751386,0.164807006716728,315.51708213,-1.0554083
277196613930188800,587730845814751852,0.0999523028731346,315.55649789,-1.1979267
277478042668892160,587730845814883103,0.133246004581451,315.84952439,-1.16754672
277478042505314304,587730845814948742,0.151951000094414,316.07520962,-1.23220953
277478042681475072,587730845814882431,0.184944003820419,315.83557323,-1.09745629
277478042509508608,587730845815014016,0.0489102005958557,316.20647402,-1.20457928
277478042358513664,587730845815144868,0.0845697000622749,316.50546712,-1.25584288
277478042333347840,587730845815144914,0.232976004481316,316.53053162,-1.13156671
277478042522091520,587730845815145036,0.0974633023142815,316.43111261,-1.06471526
277478042371096576,587730845815210505,0.0960936024785042,316.54778326,-1.11089302
277478042354319360,587730845815210515,0.0985418036580086,316.54985838,-1.05418097
277478042413039616,587730845815210590,0.0967373996973038,316.57860545,-1.06670671
277478042350125056,587730845815210696,0.0973139032721519,316.6314547,-1.06845423
277478042006192128,587730845815276072,0.132229000329971,316.75317857,-1.2181725
277478042035552256,587730845815276187,0.158494994044304,316.81819887,-1.25489227
277478042060718080,587730845815276190,0.159714996814728,316.81966821,-1.1053459
277478042014580736,587730845815276290,0.073292002081871,316.79162347,-1.11792094
277478041830031360,587730845815341325,0.0594010017812252,316.91508527,-1.22819559
277478041670647808,587730845815406856,0.13391500711441,317.05668685,-1.20741929
277478041498681344,587730845815669145,0.0718991979956627,317.59780875,-1.16211425
277478041683230720,587730845815406919,0.110756002366543,317.08122867,-1.2107144
277478041674842112,587730845815406938,0.058898501098156,317.08959605,-1.13700784
277478041846808576,587730845815407206,0.134721994400024,317.03402335,-1.18243629
277478041867780096,587730845815407225,0.176613003015518,317.03771801,-1.12796525
277478041666453504,587730845815472222,0.151365995407104,317.16543231,-1.10636871
277478041901334528,587730845815341197,0.16271199285984,316.89075918,-1.20276081
277478041536430080,587730845815669136,0.0733828023076057,317.59063714,-1.25104086
277759569160044544,587730845815865878,0.0710830986499786,318.07160383,-1.05284032
277759568954523648,587730845816062372,0.137665003538132,318.49258581,-1.22266607
277759568820305920,587730845816062514,0.187904998660088,318.60182325,-1.09044395
277759568786751488,587730845816128161,0.0440725982189178,318.69107372,-1.05611725
277478041549012992,587730845815669298,0.214296996593475,317.68547678,-1.24388343
277759568933552128,587730845816062184,0.22630999982357,318.56270327,-1.21292175
277478041687425024,587730845815472413,0.151226997375488,317.23533033,-1.05612498
277759568803528704,587730845816127881,0.0402208007872105,318.6374053,-1.19433478
277478041557401600,587730845815603801,0.0327781997621059,317.56449407,-1.20547331
277759569285873664,587730845815800549,0.224291995167732,317.96148404,-1.22041475
277759569294262272,587730845815799918,0.0323988012969494,317.92513127,-1.24323365
277759568316989440,587730845816324552,0.0607785992324352,319.12005335,-1.09882503
277759569122295808,587730845815866060,0.137407004833221,318.16653438,-1.15130245
277478041716785152,587730845815472716,0.0948079004883766,317.19306698,-1.15508097
277759568132440064,587730845816520990,0.0613772012293339,319.65643214,-1.05533268
277759568476372992,587730845816193147,0.0520440004765987,318.83297676,-1.07453321
277759568124051456,587730845816455777,0.131209999322891,319.52377691,-1.1171499
277759568472178688,587730845816259051,0.205064997076988,318.94904567,-1.11083391
278041387587338240,587730845816848797,0.0934292003512383,320.32774672,-1.21906981
278041387675418624,587730845816586433,0.182987004518509,319.75517528,-1.13368146
277759568115662848,587730845816390087,0.0881337001919746,319.3079843,-1.140055
277759568430235648,587730845816193393,0.0857319012284279,318.79568913,-1.17074748
278041387725750272,587730845816651974,0.0624032989144325,319.92993365,-1.12913629
278041387696390144,587730845816652275,0.0886477008461952,319.93759967,-1.25786518
278041387708973056,587730845816717710,0.0927003994584084,319.99705179,-1.06808863
278041387679612928,587730845816717720,0.114702999591827,320.00331391,-1.09513145
278041387365040128,587730845816979793,0.0897366032004356,320.59577769,-1.09592547
278041387859968000,587730845816520978,0.0614203996956348,319.65071731,-1.14219186
277478041519652864,587730845815734654,0.0701821967959404,317.73971024,-1.20080727
278041387528617984,587730845816717849,0.167242005467415,320.09061309,-1.05722144
278041387075633152,587730845816979987,0.0955272987484932,320.71818092,-1.24910346
278041387532812288,587730845816783367,0.0620831996202469,320.20596592,-1.14479797
278041387507646464,587730845816717833,0.17790199816227,320.07803267,-1.09330056
278041386916249600,587730845817176424,0.0992849990725517,321.02380883,-1.12897777
278041387339874304,587730845816914319,0.0888459980487823,320.47911134,-1.10146774
278041387893522432,587730845816586609,0.0605906993150711,319.68226512,-1.07580477
278041386903666688,587730845817176542,0.060512900352478,321.08040765,-1.22946842
278041387411177472,587730845816914470,0.142413005232811,320.54485147,-1.17154636
277759568463790080,587730845816258902,0.159592002630234,319.0308837,-1.21370173
278041386740088832,587730845817307586,0.223445996642113,321.45111421,-1.18123047
278041387033690112,587730845817111091,0.174150004982948,320.90774575,-1.1256261
278041387016912896,587730845817045512,0.0582079999148846,320.86281592,-1.19197379
278322849972748288,587730845817438538,0.223442003130913,321.63790911,-1.12280623
278041387377623040,587730845816914256,0.088865801692009,320.44058115,-1.08802471
278041386874306560,587730845817176474,0.0608250983059406,321.05663265,-1.21736491
278041386693951488,587730845817307489,0.0606802999973297,321.39003766,-1.23551834
278322849951776768,587730845817373120,0.144734993577003,321.57968299,-1.12577393
278322849960165376,587730845817504140,0.0604587011039257,321.84988197,-1.20333759
278322849825947648,587730845817504193,0.0304812006652355,321.89040958,-1.18861662
278322849767227392,587730845817504260,0.0289708003401756,321.91682856,-1.14592161
278322849817559040,587730845817504263,0.0296801999211311,321.91518586,-1.10217263
278322849607843840,587730845817700742,0.0859604030847549,322.31136228,-1.07123632
278322849502986240,587730845817766130,0.136135995388031,322.38024818,-1.06041178
278322849440071680,587730845817766143,0.065403901040554,322.38639867,-1.09411822
278322849167441920,587730845817766449,0.0508181005716324,322.4901695,-1.09368531
278322849150664704,587730845817831687,0.135585993528366,322.56513196,-1.25540517
278322849121304576,587730845817831706,0.102167002856731,322.5809627,-1.0560117
278604101489524736,587730845818028497,0.0499315001070499,323.11222408,-1.18971282
