specObjID,objID,z,ra,dec
278885563459698688,587730845818946006,0.284247010946274,325.16861958,-1.08955185
278604100654858240,587730845818487317,0.321480005979538,324.13783009,-1.10812214
278885562629226496,587730845819404774,0.354631990194321,326.17729353,-1.13663639
278604100482891776,587730845818749470,0.282739996910095,324.66881411,-1.10887741
278885562646003712,587730845819535392,0.177091002464294,326.42166971,-1.08468319
278885562759249920,587730845819273723,0.414849996566772,325.90370173,-1.24008316
276352159438602240,587730846349133351,0.329266011714935,309.86274089,-0.68661109
276352160059359232,587730846080435497,0.27904400229454,309.23011938,-1.10661437
276633767865483264,587730846349918265,0.0577181987464428,311.60725054,-0.79220107
276352158918508544,587730846349723101,0.374466001987457,311.19093111,-0.80857254
276633767626407936,587730846349919311,0.263271003961563,311.59116853,-0.70694496
276633767706099712,587730846349984478,0.106464996933937,311.79632017,-0.8080384
276352159589597184,587730846349329762,0.319173991680145,310.24905637,-0.75919853
276915144263467008,587730846350180523,0.054492000490427,312.22755516,-0.82139628
276352159237275648,587730846349395312,0.424466997385025,310.39983682,-0.76756552
276633767718682624,587730846349984405,0.217599004507065,311.76606741,-0.81963434
276915144305410048,587730846350377525,0.297897011041641,312.66695023,-0.83803328
276633767081148416,587730846350443441,0.0718317031860352,312.93771545,-0.71538734
276915144196358144,587730846350377667,0.0571034997701645,312.71160063,-0.73079291
276915143655292928,587730846350574517,0.0544460006058216,313.2103959,-0.77549564
276915144200552448,587730846350312477,0.416377991437912,312.61012855,-0.77321318
276915143500103680,587730846350770593,0.0695841982960701,313.67060816,-0.76687129
276915143294582784,587730846350770343,0.0475596003234386,313.60050807,-0.80876545
276915143831453696,587730846350705143,0.0543217994272709,313.41572475,-0.63001348
276915143701430272,587730846350705407,0.0546361990272999,313.48163634,-0.64303999
277196614156681216,587730846351491301,0.0799190998077393,315.29533714,-0.63329965
277196614118932480,587730846351491175,0.160187005996704,315.25240913,-0.66106859
277196615016513536,587730846351032810,0.0537471994757652,314.17354429,-0.81838444
276915143521075200,587730846350901424,0.05338079854846,313.9021333,-0.63659026
276915143227473920,587730846351229924,0.29755300283432,314.61780718,-0.74224037
277478042748583936,587730846351819073,0.047451701015234,316.03272588,-0.77013384
277196613795971072,587730846351885185,0.300738990306854,316.1784473,-0.70030617
277478042576617472,587730846351950570,0.42492800951004,316.35630353,-0.7507357
277478042400456704,587730846352081482,0.0487159006297588,316.59036259,-0.77121383
277478042182352896,587730846352278479,0.432043999433517,317.03217105,-0.63645132
277759569000660992,587730846352868287,0.386999994516373,318.46465047,-0.73697964
277478041511264256,587730846352474797,0.033687099814415,317.53399119,-0.77299881
277478041930694656,587730846352343705,0.168367996811867,317.22815212,-0.72580524
277759568283435008,587730846353195114,0.0193322002887726,319.1151895,-0.82649208
277759569038409728,587730846352737170,0.388274997472763,318.04301508,-0.64209513
277478042236878848,587730846352212308,0.0853075981140137,316.93059728,-0.6426748
277759568505733120,587730846353064401,0.138896003365517,318.86088259,-0.69669132
278041387914493952,587730846353326790,0.372931003570557,319.52426579,-0.81400222
277759568266657792,587730846353195279,0.0595770999789238,319.16708349,-0.77371572
278041387574755328,587730846353719937,0.339237004518509,320.28169028,-0.72890918
277759568447012864,587730846352999134,0.146884992718697,318.77018924,-0.78165953
278041387746721792,587730846353523273,0.308865010738373,319.91341479,-0.81363976
278041387553783808,587730846353719994,0.33985298871994,320.33291923,-0.81710413
278041387356651520,587730846353785542,0.322041988372803,320.51133865,-0.82550662
278041387352457216,587730846353785568,0.245425999164581,320.54448976,-0.82771655
278041387381817344,587730846353851191,0.433494985103607,320.5734006,-0.8240351
278041387008524288,587730846353982151,0.335184007883072,320.88803063,-0.6983028
278322849997914112,587730846354243811,0.0514835007488728,321.58301691,-0.75469263
278322849674952704,587730846354506138,0.11888399720192,322.10572857,-0.76022793
278322850006302720,587730846354309728,0.333658993244171,321.67501642,-0.75064237
278041386672979968,587730846354309843,0.478051006793976,321.66454082,-0.70791692
278322849477820416,587730846354637227,0.226105004549026,322.42040734,-0.69123751
278604101158174720,587730846355226830,0.237635001540184,323.8203242,-0.74617963
278604101393055744,587730846355097090,0.21126900613308,323.41927469,-0.64324003
278322848760594432,587730846354899348,0.10292199999094,323.00425725,-0.75800933
278885563677802496,587730846355554766,0.0836765021085739,324.58810965,-0.68683111
278604100726161408,587730846355423846,0.468326985836029,324.17075888,-0.75510589
278885563463892992,587730846355816760,0.0638275966048241,325.07465114,-0.72886625
278604100373839872,587730846355751321,0.168274000287056,325.02420002,-0.79767999
278885563656830976,587730846355685779,0.239247992634773,324.86402459,-0.77299939
278604100365451264,587730846355685885,0.330668985843658,324.82101617,-0.66263112
278885562599866368,587730846356341129,0.160681992769241,326.36701041,-0.77996429
276352159509905408,587730846886004127,0.256637990474701,309.82229577,-0.37527818
276352159430213632,587730846886068999,0.374857991933823,309.94533877,-0.28935494
276352159275024384,587730846886134644,0.317429006099701,310.11097692,-0.2638694
276352159333744640,587730846886199371,0.137967005372047,310.24586937,-0.28314394
276352159497322496,587730846886004339,0.452129989862442,309.83491621,-0.34187707
276633767630602240,587730846886724129,0.0125398999080062,311.56633753,-0.22216532
276352159459573760,587730846886002931,0.450269013643265,309.8290421,-0.28634111
276633767391526912,587730846887051394,0.301380008459091,312.20275467,-0.36536822
276915143667875840,587730846887576224,0.199993997812271,313.43829179,-0.24077868
