# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
331.953730	0.934369	0.5150
331.954878	0.870358	0.9775
331.957525	0.884410	0.8287
331.959244	0.946833	0.9575
331.961693	0.931458	0.5894
331.963435	0.886434	0.6040
331.963394	0.959794	0.8790
331.969527	0.953248	0.7299
331.971024	0.971041	0.8445
331.974025	0.883078	0.0000
331.973365	0.939939	1.5051
331.976315	0.888249	0.0000
331.976048	0.966444	0.9611
331.977994	0.878146	0.5950
331.979310	0.874918	1.0317
331.981796	0.898145	0.5850
331.984933	0.867556	0.4171
331.985079	0.915935	0.8830
331.985246	0.963160	0.5940
331.986989	0.956918	0.7192
331.989914	0.868864	0.0000
331.989431	0.927435	0.5062
331.991590	0.894373	0.8661
331.991982	0.946023	0.4552
331.994851	0.910419	0.0000
331.995210	0.976062	0.6727
331.997262	0.975330	0.8980
332.001292	0.928377	0.5973
331.999894	0.971126	0.5900
332.003014	0.864143	0.8660
332.003704	0.985134	0.5110
332.004653	0.863660	0.7308
332.007341	0.923823	0.7302
332.012480	0.968334	0.6018
332.016386	0.885095	0.0000
332.016533	0.930972	0.0000
332.019803	0.893130	0.8845
332.019187	0.951466	0.0000
332.021901	0.967517	0.5109
332.023830	0.904936	0.7823
332.028001	0.968650	0.7316
332.029985	0.884721	0.7450
332.030380	0.979055	0.4780
332.032094	0.897306	0.5063
332.033686	0.910260	0.7845
332.036190	0.953900	0.6019
332.037476	0.887646	0.5177
332.038115	0.986451	0.5118
332.041721	0.873693	0.0000
332.048592	0.977742	0.5880
330.394881	1.120864	0.6200
330.400705	1.097310	0.5915
330.402401	1.093077	0.5933
330.406670	1.044611	0.6174
330.407311	1.083847	0.0000
330.406738	1.155349	0.7086
330.412280	1.053827	0.8622
330.415614	1.102348	0.6320
330.416903	1.105997	0.0000
330.416827	1.157038	0.6586
330.418622	1.050299	0.6690
330.418728	1.125665	0.8682
330.420959	1.119650	0.0000
330.425502	1.058210	0.9928
330.426908	1.078129	0.6900
330.427463	1.078008	0.7050
330.426815	1.151691	1.0660
330.429295	1.053456	0.4725
330.428817	1.127739	0.7608
330.430939	1.053295	0.9930
330.431056	1.131842	0.7082
330.433274	1.050212	0.0000
330.434129	1.097505	0.0000
330.432840	1.143647	0.7600
330.435520	1.050644	0.9915
330.435522	1.146371	0.9893
330.439938	1.068911	0.5225
330.440402	1.152211	0.5822
330.446551	1.067080	1.0259
330.446231	1.133686	0.6680
330.448443	1.031813	0.0000
330.448422	1.070468	0.5844
330.450499	1.092429	0.5932
330.449975	1.150315	0.7038
330.451917	1.160937	0.4195
330.458843	1.092343	0.8850
330.456532	1.151229	0.3144
330.460554	1.043623	0.0000
